hash,message,.text,.data,.bss
e77f404,"Revert ""MenuNavigation: you can go back to previous menu (A bug was introduced here)""",15130,954,14
d501003,module extraction,16260,1018,14
9af94c7,comments,16260,1006,14
893fd68,MenuNavigation: you can go back to previous menu (A bug was introduced here),16260,1006,14
4c1db1c,type moved from one module to another,15130,942,14
a8075c7,improve formad of numerical field on menu items,15130,942,14
65462e7,Make possible to save or escape save the sub menu_item values,15130,942,14
48864e2,comments,14400,860,14
fdbd254,Decoupled menu description from where raw data is stored,14400,860,14
840fe36,naming,14240,860,14
e6ee0ff,refactor: removed necessity of static variable in menu construction,14240,860,14
0a3aeaf,doc,14030,888,14
a3bf157,simplification; removed unused code,14030,888,14
deacb8f,doc,14436,888,14
8be2f45,Simplification on building optional field list,14436,888,14
dc3be41,Propagated last change to other menu items constructions,14390,888,14
d611b9c,Introduced MenuItemBuilder pattern,15102,912,14
88413ed,naming convention,14362,930,14
f9bd918,"added submenu as a child of ""INTERTRAVAMENTO PARA DOIS EIXO"" in the ""Arquivo de Eixo"" menu",14362,930,14
34307fc,Added document generation in the 'doc' rule of Makefile,13770,924,14
8be0a93,bugfix,13770,924,14
0e9ac4c,Introduced sub_menu 'Configuracao da Impressora',13770,924,14
7b5064d,introduced 'Configuracao de Ciclo',13254,922,14
daee8d3,added submenu 'parametros de movimento' + 'prametros de impressao',12666,914,14
cd8d21c,"""Arquivo de Programa"" literal names for submenus",12186,894,14
49896e1,menu_item can b just a submenu title call,12662,876,14
4c2b337,type integration,12532,876,14
6b202d0,removed unecessary parameter,11972,876,14
ad37163,type unification,11972,876,14
73005f0,MenuItemWidget::field now allows None value,12514,876,14
4d024f3,draft about how z80's menu spec is implemented in assembly,12426,876,14
46f9d13,"loaded classic menu z80 TTC-3100 assets, and protocol v1 samples.",12426,876,14
281ac86,introduced gource rule in makefile,12426,876,14
0272d88,minor change,12426,876,14
6d77641,Merge commit 'd5e074be3a74d782792c149dd42638f64c9ef38a' into menu3,12426,876,14
d5e074b,added more mock parameters,12426,876,14
fa28e4a,variable connected to the Option widget,12164,876,14
b189159,doc,12132,876,14
db36ae4,included variable in type,12132,876,14
0092d22,removed unused code,12186,870,14
1878faf,bugfix,12180,860,24
b92bab5,"""Variable"" is Cell<T>",12180,860,24
c8adad2,removed unused code,12374,860,14
57641ea,minor changes,12374,860,14
7d2ec7a,doc,12374,860,14
c1b6cac,introduced SubMenuTrait,12374,860,14
4508b7c,introduced new trait,12714,860,14
20464a4,function to auto detect length,12470,860,14
7b58d3e,type extraction,12224,860,14
6f1e568,First working mockup for Recurssive Menu,12160,860,14
de1652a,Aplied the concept of 'Arena' to SubMenu handler,11766,860,14
2ecab2e,type extracted to file,11768,860,14
ec0c8fe,file rename,11768,860,14
7f1c774,reactivate disabled parameter (child submenu),11768,854,14
f5d103b,removed unnecessary lifetimes,11706,854,14
11e92ad,"Created menu handle, to abstract submenus",11680,854,14
85339ec,"Revert ""introduced SubMenuTrait""",11938,854,14
c54760e,introduced SubMenuTrait,11938,854,14
eb3676c,removed unused code,11938,854,14
9e0e1b7,type name swap and renaming,11938,854,14
196838d,More responsability to SubMenuList,11938,854,14
49ed1e7,solved problem of storing menu_items in flash memory,11740,830,14
daa925e,extracted mutable reference from MenuItemArgs,11798,842,14
5e9a049,Avoid use of Range<T> in struct `Format` because it is not `Copy`,11648,844,18
bcde650,type extraction:,11656,844,18
02b2cc9,minor change,1456,0,9
cc29fb5,feat: FlashSlice introduced,1456,0,9
deb550f,fix: now multiples lines in submenu works,11722,844,18
3673359,minor change: doc,4242,526,14
a9e6c6a,minor change,4242,526,14
979aa32,fix: removed BEGIN_TOKEN and END_TOKEN from the field parsed,4226,526,14
e2ed74d,doc,4198,526,14
b2f4d56,removed unused code,4202,520,14
2f16830,feat: new template string pattern to construct menu_items,4204,532,14
d456dfc,minor change: formating,4182,548,14
c058a50,templete string for menu_item construction now uses a memory efficient method,4166,542,14
297df74,added methods to FlashString type,3322,456,14
